Condition_Order,Condition,Model_Order,Model,Model_Label,Configuration_Order,Configuration,Number_of_Predictors,CV_Accuracy_Mean,CV_Accuracy_SD,CV_Macro_Precision_Mean,CV_Macro_Precision_SD,CV_Macro_Recall_Mean,CV_Macro_Recall_SD,CV_Macro_F1_Mean,CV_Macro_F1_SD,CV_Train_Macro_F1_Mean,Number_of_Validation_Scores
1,Random undersampling (RUS),7,SVM,U-SVM,0,ATTD & PBC & SN,32,0.865062937062937,0.02392569861761935,0.8275019047164319,0.027668759373265923,0.8616786608260324,0.026478125490665926,0.838824853660122,0.02559528329986109,0.8826357736634423,25
1,Random undersampling (RUS),7,SVM,U-SVM,1,ATTD & PBC,28,0.8527272727272728,0.03082322027486528,0.8138762470409074,0.035425129174931055,0.8489681546377416,0.03985814202178331,0.8246208434482583,0.03526369969278067,0.8686997596475052,25
1,Random undersampling (RUS),7,SVM,U-SVM,2,ATTD & SN,28,0.8527459207459208,0.025748747656519622,0.8140343791886971,0.028482725792239504,0.8430824989570295,0.03625720753210811,0.8226081759593504,0.02995417667313383,0.8736031183647291,25
1,Random undersampling (RUS),7,SVM,U-SVM,3,PBC & SN,28,0.8632074592074593,0.02281094441907731,0.8260983437291634,0.023621693965342385,0.8659875191211235,0.022134419695755515,0.83840144473773,0.02275320425318058,0.8733547757869033,25
1,Random undersampling (RUS),7,SVM,U-SVM,4,ATTD,24,0.8434965034965036,0.02745030150690065,0.804237358444906,0.03065697489432587,0.8224329022389099,0.04132001734042802,0.8081622404996436,0.03321531384303801,0.8601748777176182,25
1,Random undersampling (RUS),7,SVM,U-SVM,5,PBC,24,0.8367645687645688,0.029991913392936675,0.7980033631722017,0.031386794810958456,0.8366572799332498,0.034157275296056416,0.808166838127333,0.03110255534710649,0.8565255162517712,25
1,Random undersampling (RUS),7,SVM,U-SVM,6,SN,24,0.8079160839160839,0.026428713227633523,0.7642011166925022,0.02970797680816514,0.7951771311361423,0.037756751464688654,0.7717267665258417,0.030965270503378727,0.8421375499529755,25
2,Random oversampling (ROS),0,AdaBoost,O-AdaBoost,0,ATTD & PBC & SN,32,0.8644662004662006,0.02165109250656531,0.8283408092979846,0.028563379737865924,0.8446650326797385,0.027231901495703734,0.8331721770144445,0.024574100669243332,0.9169906574309198,25
2,Random oversampling (ROS),0,AdaBoost,O-AdaBoost,1,ATTD & PBC,28,0.8485128205128205,0.03541315450813986,0.8094441429398418,0.044177911175634556,0.8288431720205813,0.044311103640087515,0.8150089392533018,0.041736865785051216,0.8938739323270943,25
2,Random oversampling (ROS),0,AdaBoost,O-AdaBoost,2,ATTD & SN,28,0.8423496503496505,0.033308952891334065,0.8022770573028102,0.04360370742810494,0.8042483660130718,0.04621617739681361,0.8008983009310238,0.04251983680398343,0.8905716032316384,25
2,Random oversampling (ROS),0,AdaBoost,O-AdaBoost,3,PBC & SN,28,0.8601678321678322,0.025488618468483326,0.8236523460403595,0.030723474090862846,0.8424549784452787,0.03679791926680709,0.8285341764658364,0.029764499427264286,0.9007154150098244,25
2,Random oversampling (ROS),0,AdaBoost,O-AdaBoost,4,ATTD,24,0.8319067599067599,0.03305951860868614,0.7886826032793021,0.039693114218675316,0.8046478236684744,0.04108392344533244,0.7935129304844228,0.03937524285023801,0.8578467611198135,25
2,Random oversampling (ROS),0,AdaBoost,O-AdaBoost,5,PBC,24,0.8392634032634034,0.03504904158523749,0.7973405285910793,0.03946031897866799,0.8217059518842998,0.04719822400151532,0.8048665966102801,0.042221525124531444,0.870668827114099,25
2,Random oversampling (ROS),0,AdaBoost,O-AdaBoost,6,SN,24,0.8134918414918415,0.04111540931169835,0.7669888561651282,0.0504471491758913,0.7786618690029202,0.05716484978351824,0.7688417784634567,0.05244415976222639,0.8710664007178204,25
2,Random oversampling (ROS),1,DT,O-DT,0,ATTD & PBC & SN,32,0.7981631701631702,0.03085840859468657,0.7637192258347127,0.03006012390932329,0.8115922681129191,0.04566834040258637,0.7695946279500003,0.03404889299898216,0.8085849759743019,25
2,Random oversampling (ROS),1,DT,O-DT,1,ATTD & PBC,28,0.7987785547785548,0.030112889570922848,0.7662567806217563,0.024755086459388214,0.8161312752051175,0.037395005678470726,0.7718733918605644,0.029682255898578848,0.8067403818996814,25
2,Random oversampling (ROS),1,DT,O-DT,2,ATTD & SN,28,0.7614358974358976,0.040090479657776804,0.7216396277356532,0.039229956773852284,0.7573200876095119,0.04898267367257313,0.7250935400258378,0.04215459664801742,0.7748234634459935,25
2,Random oversampling (ROS),1,DT,O-DT,3,PBC & SN,28,0.8153659673659674,0.03784134681766126,0.7758835776455658,0.03829928678176181,0.8105762411347517,0.05272475887348245,0.7819857770193063,0.04365261178676786,0.8207178111302459,25
2,Random oversampling (ROS),1,DT,O-DT,4,ATTD,24,0.778004662004662,0.045536350032851995,0.7402744188825001,0.04036028931645544,0.7781829717702684,0.04254594010920011,0.7452441573004891,0.043909368711833804,0.7801298848116679,25
2,Random oversampling (ROS),1,DT,O-DT,5,PBC,24,0.820904428904429,0.03467971982848576,0.7839365042484876,0.031696258993863906,0.8238381309970798,0.03645299995463758,0.7915425441970608,0.03461972560993743,0.8185242721207875,25
2,Random oversampling (ROS),1,DT,O-DT,6,SN,24,0.7434685314685315,0.05109659706658858,0.7202853819701517,0.045019540383260656,0.7696243568349326,0.055034416744902996,0.717785951992406,0.05217149288019732,0.7412854215422997,25
2,Random oversampling (ROS),2,GB,O-GB,0,ATTD & PBC & SN,32,0.8491468531468531,0.03376885867890233,0.8144746141660327,0.045634652143261116,0.8162425253789458,0.045474721896253394,0.8106389701992687,0.040913848913618836,0.968469881779111,25
2,Random oversampling (ROS),2,GB,O-GB,1,ATTD & PBC,28,0.8386853146853147,0.033512030504979515,0.7977676386180587,0.043489448888286084,0.8065243012098456,0.04081102294228408,0.7994603302389741,0.040375152537505336,0.9485096062322731,25
2,Random oversampling (ROS),2,GB,O-GB,2,ATTD & SN,28,0.8380885780885781,0.03743070094301395,0.7993582472731002,0.049596376127784,0.7935798219997219,0.050050358455341636,0.7932360649442752,0.04850479983644122,0.9571113670019747,25
2,Random oversampling (ROS),2,GB,O-GB,3,PBC & SN,28,0.847916083916084,0.03301443820526217,0.809723940453379,0.04146169210403869,0.8196533861771659,0.042066436924412275,0.8112741655038532,0.039203172978097216,0.9538918646880089,25
2,Random oversampling (ROS),2,GB,O-GB,4,ATTD,24,0.8208391608391608,0.038803957130218975,0.7765921237944973,0.04528153970098071,0.7851760881657627,0.04625219391840725,0.7777016338294679,0.045308511602642966,0.912479333601675,25
2,Random oversampling (ROS),2,GB,O-GB,5,PBC,24,0.8374358974358975,0.03439599110453463,0.795998584765865,0.04041990286074589,0.8104423932693643,0.04035494062263496,0.7999837712378449,0.039719028712667914,0.9263473440843935,25
2,Random oversampling (ROS),2,GB,O-GB,6,SN,24,0.8227319347319347,0.04914637995685101,0.7817051638716017,0.059114925094707185,0.7915119593936865,0.053583675100538214,0.7820376900750169,0.05589708053594259,0.933633646318311,25
2,Random oversampling (ROS),3,KNN,O-KNN,0,ATTD & PBC & SN,32,0.8558881118881119,0.03381392057771135,0.82127537541034,0.043221519954784106,0.8373630232234737,0.04574083609231035,0.8232079963900847,0.03927794366554565,0.8874719803066046,25
2,Random oversampling (ROS),3,KNN,O-KNN,1,ATTD & PBC,28,0.8521771561771562,0.03480652056221247,0.8132658633046348,0.039989279135331623,0.8385612223612849,0.04537215196619717,0.8208779688609185,0.04077810146793084,0.876386967665716,25
2,Random oversampling (ROS),3,KNN,O-KNN,2,ATTD & SN,28,0.8281398601398603,0.03991179847502612,0.7866243401454862,0.05175054420132511,0.7970162355722431,0.06378114302105654,0.7859043017086859,0.05287537396091499,0.8846478529881346,25
2,Random oversampling (ROS),3,KNN,O-KNN,3,PBC & SN,28,0.8404848484848485,0.03632875740440134,0.8016632881906637,0.04708262470245524,0.8194081143095535,0.04746523773603109,0.8051448830161821,0.0428906776337674,0.8775964132777274,25
2,Random oversampling (ROS),3,KNN,O-KNN,4,ATTD,24,0.8165501165501168,0.03691877962325427,0.771881799105481,0.045529533949960815,0.7801814768460575,0.05332251522912996,0.7714073892758904,0.0471289696308565,0.8543374392523707,25
2,Random oversampling (ROS),3,KNN,O-KNN,5,PBC,24,0.8154219114219114,0.0435164451098166,0.770247392449729,0.0515663282847922,0.7931695869837297,0.05707250729233268,0.7765542474914908,0.053341432016637526,0.8486460217479674,25
2,Random oversampling (ROS),3,KNN,O-KNN,6,SN,24,0.7656317016317017,0.056460132451791406,0.7113071121629291,0.07009901474511725,0.7280494715616743,0.0785507518585603,0.7143752150895252,0.07198399403055152,0.8383395950328719,25
2,Random oversampling (ROS),4,LR,O-LR,0,ATTD & PBC & SN,32,0.8485594405594407,0.03487888189456085,0.8125393390022485,0.04551785536351527,0.8322976637463495,0.03839719314179764,0.8164277575136519,0.03851974653865004,0.8960014447037541,25
2,Random oversampling (ROS),4,LR,O-LR,1,ATTD & PBC,28,0.8344522144522145,0.03629729169822801,0.7946253795430732,0.04106440180134738,0.8201924280350437,0.03877380593833055,0.80129234604985,0.03936330663922316,0.878402322789115,25
2,Random oversampling (ROS),4,LR,O-LR,2,ATTD & SN,28,0.8417902097902099,0.03142941676807995,0.8013844170303343,0.03692975567126141,0.8255124461131972,0.04443530979365221,0.8080541233010066,0.03777446403559262,0.8774404850133948,25
2,Random oversampling (ROS),4,LR,O-LR,3,PBC & SN,28,0.8534638694638694,0.03638322824079545,0.8173210581648214,0.04019976104057527,0.8413560353219302,0.0424975385186514,0.8230075209828353,0.04013482534690013,0.8881676973769723,25
2,Random oversampling (ROS),4,LR,O-LR,4,ATTD,24,0.8128951048951049,0.03855930049049332,0.7697772305804418,0.041151749423419696,0.8002583089973578,0.04771955331708032,0.7774882546082842,0.043945526387838045,0.8353966717402136,25
2,Random oversampling (ROS),4,LR,O-LR,5,PBC,24,0.8344801864801865,0.03863988712148571,0.7935947525012934,0.04239626986650262,0.8215159574468085,0.04235018752052745,0.8018100089001066,0.04243370932925544,0.8600135119650223,25
2,Random oversampling (ROS),4,LR,O-LR,6,SN,24,0.8215104895104894,0.0430346981216182,0.7793857300384717,0.04789334766798006,0.8021142747879294,0.055339953023432406,0.7841801129379811,0.05064706507606776,0.8512008178709768,25
2,Random oversampling (ROS),5,NB,O-NB,0,ATTD & PBC & SN,32,0.8841025641025643,0.029456860870127312,0.8584848265307633,0.038214384145526914,0.8476670490891393,0.044072455307357476,0.8505713851170259,0.039439607095028625,0.8580519352127941,25
2,Random oversampling (ROS),5,NB,O-NB,1,ATTD & PBC,28,0.8687459207459207,0.0301548408137605,0.8389758947351963,0.04016658660977727,0.8285935544430539,0.041715146389056545,0.8312562503845933,0.0389861662952607,0.8403438814333605,25
2,Random oversampling (ROS),5,NB,O-NB,2,ATTD & SN,28,0.8674871794871796,0.029719474919401783,0.8398505823630625,0.03923829325717328,0.8199607147823668,0.04651633729022108,0.8265631167098887,0.04191424588411572,0.8388510173548185,25
2,Random oversampling (ROS),5,NB,O-NB,3,PBC & SN,28,0.8681398601398602,0.027225685726532608,0.8366505499057538,0.03627695163354445,0.8301295021554721,0.0437414430568324,0.8307785942697202,0.038295905423648545,0.8371741784098882,25
2,Random oversampling (ROS),5,NB,O-NB,4,ATTD,24,0.8496596736596738,0.037499241302685234,0.8154960817706929,0.049874605931877695,0.8027791684049507,0.049900540877316026,0.806033517142792,0.048703344049814516,0.8193997268348119,25
2,Random oversampling (ROS),5,NB,O-NB,5,PBC,24,0.8558135198135198,0.03135613736632784,0.8212812005461442,0.04281040958639986,0.815418752607426,0.04314400237565016,0.815818808986581,0.04109584365507576,0.8241186129406581,25
2,Random oversampling (ROS),5,NB,O-NB,6,SN,24,0.8441212121212122,0.04198737746823617,0.8098778063862484,0.05929735233086144,0.7907278194965929,0.05349027312303321,0.7971389403888561,0.05357230537471426,0.8043373435953964,25
2,Random oversampling (ROS),6,RF,O-RF,0,ATTD & PBC & SN,32,0.8797855477855479,0.02977145518623464,0.8543616815224085,0.039339189345080794,0.8438332638019748,0.04779185197112466,0.845265836993728,0.038671868657603095,1.0,25
2,Random oversampling (ROS),6,RF,O-RF,1,ATTD & PBC,28,0.8718694638694638,0.02951396702850305,0.8418741320449392,0.03747352472864742,0.8364462522597691,0.04501074879353519,0.8361861420339755,0.038398959236190154,1.0,25
2,Random oversampling (ROS),6,RF,O-RF,2,ATTD & SN,28,0.857062937062937,0.025518162943045656,0.8298399752949166,0.04292773960230657,0.8059084272006676,0.04352970247523525,0.8123381620694587,0.03542261773976885,0.9961260753426255,25
2,Random oversampling (ROS),6,RF,O-RF,3,PBC & SN,28,0.8650722610722612,0.022260150092567942,0.8353432496967372,0.026467748884469514,0.8220984564038382,0.04378088948714691,0.8249348064287009,0.032298057806561246,1.0,25
2,Random oversampling (ROS),6,RF,O-RF,4,ATTD,24,0.8331375291375293,0.03409762801121059,0.7927036043023553,0.04322847665151915,0.7848781462939788,0.04980738120822907,0.7855713966933962,0.04492150706396789,0.9897811658890748,25
2,Random oversampling (ROS),6,RF,O-RF,5,PBC,24,0.8515990675990676,0.03222533828122772,0.8167006549016819,0.04245055590219569,0.8110389723265193,0.045010639021603474,0.8107362433029818,0.0399472294483551,1.0,25
2,Random oversampling (ROS),6,RF,O-RF,6,SN,24,0.8293986013986014,0.03340021783346335,0.7898281630427502,0.0434218127793402,0.7699932206925323,0.050859388174188246,0.7757619774839207,0.04650603984391275,0.9961260753426255,25
2,Random oversampling (ROS),7,SVM,O-SVM,0,ATTD & PBC & SN,32,0.8785734265734265,0.025747177599297004,0.8473748895288858,0.036559609825383574,0.8573319079404811,0.03938030922228565,0.8486671542611353,0.03227461493182979,0.938875254694532,25
2,Random oversampling (ROS),7,SVM,O-SVM,1,ATTD & PBC,28,0.8540512820512821,0.03209480037761583,0.8160114736919296,0.03910809944350067,0.8292782644972883,0.044251896842426724,0.8193489231259019,0.03845901166763903,0.9204888176238842,25
2,Random oversampling (ROS),7,SVM,O-SVM,2,ATTD & SN,28,0.8626480186480187,0.031061987925019987,0.8291311896622042,0.0382422392484348,0.8276941663190098,0.05065731401775564,0.8248526470700825,0.0434065096135817,0.930283751582094,25
2,Random oversampling (ROS),7,SVM,O-SVM,3,PBC & SN,28,0.8662937062937064,0.03168846566034884,0.8322274150569795,0.039475144673920964,0.8495833333333331,0.03442381932062466,0.8364629018423144,0.03455143968030833,0.9307716580124334,25
2,Random oversampling (ROS),7,SVM,O-SVM,4,ATTD,24,0.83986013986014,0.03647904702674692,0.8007042069554506,0.04829078480025184,0.797973160895564,0.05927644609660901,0.7952165643005271,0.05115155428793064,0.9138222936151672,25
2,Random oversampling (ROS),7,SVM,O-SVM,5,PBC,24,0.8307319347319347,0.04241736054226306,0.7897805243001766,0.047204995689216774,0.8103824224725351,0.04930398334121192,0.7948121410839798,0.04707288450546997,0.9036290032425307,25
