Condition,Model_Label,Configuration,Number_of_Predictors,Accuracy_Mean_SD,Macro_Precision_Mean_SD,Macro_Recall_Mean_SD,Macro_F1_Mean_SD,Number_of_Validation_Scores
Random undersampling (RUS),U-AdaBoost,PBC & SN,28,0.8375 ± 0.0414,0.7969 ± 0.0421,0.8343 ± 0.0486,0.8082 ± 0.0453,25
Random undersampling (RUS),U-AdaBoost,ATTD,24,0.8092 ± 0.0347,0.7645 ± 0.0381,0.7941 ± 0.0430,0.7728 ± 0.0397,25
Random undersampling (RUS),U-AdaBoost,PBC,24,0.8337 ± 0.0454,0.7933 ± 0.0489,0.8287 ± 0.0515,0.8036 ± 0.0508,25
Random undersampling (RUS),U-AdaBoost,SN,24,0.7950 ± 0.0453,0.7514 ± 0.0482,0.7852 ± 0.0526,0.7594 ± 0.0512,25
Random undersampling (RUS),U-DT,ATTD & PBC & SN,32,0.7871 ± 0.0407,0.7531 ± 0.0417,0.8023 ± 0.0524,0.7591 ± 0.0448,25
Random undersampling (RUS),U-DT,ATTD & PBC,28,0.7884 ± 0.0462,0.7551 ± 0.0440,0.8054 ± 0.0476,0.7619 ± 0.0478,25
Random undersampling (RUS),U-DT,ATTD & SN,28,0.7755 ± 0.0524,0.7375 ± 0.0535,0.7685 ± 0.0546,0.7397 ± 0.0527,25
Random undersampling (RUS),U-DT,PBC & SN,28,0.7853 ± 0.0496,0.7497 ± 0.0493,0.7954 ± 0.0565,0.7562 ± 0.0527,25
Random undersampling (RUS),U-DT,ATTD,24,0.7743 ± 0.0577,0.7351 ± 0.0564,0.7700 ± 0.0588,0.7401 ± 0.0588,25
Random undersampling (RUS),U-DT,PBC,24,0.7946 ± 0.0560,0.7619 ± 0.0515,0.8100 ± 0.0544,0.7683 ± 0.0570,25
Random undersampling (RUS),U-DT,SN,24,0.7521 ± 0.0470,0.7220 ± 0.0386,0.7637 ± 0.0512,0.7206 ± 0.0475,25
Random undersampling (RUS),U-GB,ATTD & PBC & SN,32,0.8221 ± 0.0410,0.7797 ± 0.0446,0.8161 ± 0.0507,0.7902 ± 0.0466,25
Random undersampling (RUS),U-GB,ATTD & PBC,28,0.8105 ± 0.0441,0.7669 ± 0.0489,0.7972 ± 0.0539,0.7748 ± 0.0505,25
Random undersampling (RUS),U-GB,ATTD & SN,28,0.8086 ± 0.0355,0.7653 ± 0.0383,0.8002 ± 0.0477,0.7741 ± 0.0410,25
Random undersampling (RUS),U-GB,PBC & SN,28,0.8215 ± 0.0514,0.7803 ± 0.0539,0.8183 ± 0.0594,0.7908 ± 0.0572,25
Random undersampling (RUS),U-GB,ATTD,24,0.7810 ± 0.0351,0.7382 ± 0.0342,0.7764 ± 0.0404,0.7464 ± 0.0375,25
Random undersampling (RUS),U-GB,PBC,24,0.8117 ± 0.0463,0.7682 ± 0.0495,0.8032 ± 0.0562,0.7781 ± 0.0523,25
Random undersampling (RUS),U-GB,SN,24,0.7987 ± 0.0503,0.7563 ± 0.0520,0.7924 ± 0.0572,0.7648 ± 0.0561,25
Random undersampling (RUS),U-KNN,ATTD & PBC & SN,32,0.8736 ± 0.0348,0.8413 ± 0.0497,0.8508 ± 0.0403,0.8432 ± 0.0415,25
Random undersampling (RUS),U-KNN,ATTD & PBC,28,0.8706 ± 0.0354,0.8379 ± 0.0478,0.8426 ± 0.0454,0.8378 ± 0.0434,25
Random undersampling (RUS),U-KNN,ATTD & SN,28,0.8516 ± 0.0250,0.8150 ± 0.0332,0.8099 ± 0.0416,0.8099 ± 0.0341,25
Random undersampling (RUS),U-KNN,PBC & SN,28,0.8571 ± 0.0372,0.8204 ± 0.0487,0.8337 ± 0.0472,0.8235 ± 0.0451,25
Random undersampling (RUS),U-KNN,ATTD,24,0.8332 ± 0.0356,0.7977 ± 0.0496,0.7751 ± 0.0451,0.7818 ± 0.0430,25
